ID	Sex	weak	trait
1436	1	13	16.2
1436	1	14	16.4
1436	1	15	16.8
1436	1	16	17.9
1444	2	1	5.5
1444	2	2	9.1
1444	2	3	11.7
1444	2	4	18.2
1444	2	5	19.2
1444	2	6	19.8
1444	2	7	19.3
1444	2	8	20.9
1444	2	9	20.7
1444	2	10	21.9
1444	2	11	23.5
1444	2	12	22.8
1444	2	13	21.8
1444	2	14	21.4
1444	2	15	22.9
1444	2	16	23.1
1452	1	1	5.5
1452	1	2	9.5
1452	1	3	11.5
1452	1	4	12.7
1452	1	5	14.6
1452	1	6	16.70308077
1452	1	7	15.5
1452	1	8	16.9
1452	1	9	16.9
1452	1	10	17.3
1452	1	11	16.2
1452	1	12	16.3
1452	1	13	17.3
1452	1	14	20.81515152
1452	1	15	17.3
1452	1	16	16.6
1467	2	1	6.1
1467	2	2	9.8
1467	2	3	13.1
1467	2	4	17.5
1467	2	5	21
1467	2	6	20.8
1467	2	7	21.6
1467	2	8	21.8
1467	2	9	22
1467	2	10	22.7
1467	2	11	23.2
1467	2	12	23.3
1467	2	13	23.7
1467	2	14	24.9
1467	2	15	25.4
1467	2	16	25.1
1474	2	1	6
1474	2	2	10.2
1474	2	3	13.5
1474	2	4	16.4
1474	2	5	19.7
1474	2	6	20.6
1474	2	7	22.2
1474	2	8	22.2
1474	2	9	22.7
1474	2	10	22.7
1474	2	11	22.7
1474	2	12	23.5
1474	2	13	23.8
1474	2	14	24.6
1474	2	15	26.8
1474	2	16	26.1
1482	2	1	4.6
1482	2	2	7.8
1482	2	3	9.8
1482	2	4	13.6
1482	2	5	15
1482	2	6	16.3
1482	2	7	17.1
1482	2	8	17.2
1482	2	9	18.2
1482	2	10	19.8
1482	2	11	20.1
1482	2	12	21.6
1482	2	13	21.2
1482	2	14	22.3
1482	2	15	23.4
1482	2	16	23.6
1490	2	1	5.3
1490	2	2	9.3
1490	2	3	12.4
1490	2	4	14.2
1490	2	5	16.4
1490	2	6	17
1490	2	7	18.2
1490	2	8	17.8
1490	2	9	18.6
1490	2	10	19.2
1490	2	11	20.2
1490	2	12	20.2
1490	2	13	19.4
1490	2	14	20.6
1490	2	15	20.9
1490	2	16	20.8
1498	2	1	4.7
1498	2	2	9.8
1498	2	3	12.5
1498	2	4	16.4
1498	2	5	18.6
1498	2	6	18.8
1498	2	7	18.9
1498	2	8	18.8
1498	2	9	20
1498	2	10	21.8
1498	2	11	22.7
1498	2	12	23.2
1498	2	13	24.3
1498	2	14	25
1498	2	15	24.7
1498	2	16	24.5
1506	1	1	5.6
1506	1	2	9.4
1506	1	3	12.1
1506	1	4	14.6
1506	1	5	17.3
1506	1	6	17.6
1506	1	7	17.9
1506	1	8	18.6
1506	1	9	19.7
1506	1	10	19.8
1506	1	11	20.3
1506	1	12	21.1
1506	1	13	20.2
1506	1	14	22.3
1506	1	15	21.9
1506	1	16	22
1418	1	1	3.8
1418	1	2	7
1418	1	3	10.9
1418	1	4	10.7
1418	1	5	12.9
1418	1	6	14.4
1418	1	7	14.5
1418	1	8	16.2
1418	1	9	16.9
1418	1	10	18.4
1418	1	11	17.8
1418	1	12	18.7
1418	1	13	18.3
1418	1	14	18.7
1418	1	15	19.1
1418	1	16	19.8
1429	2	1	7
1429	2	2	8.9
1429	2	3	11.6
1429	2	4	15
1429	2	5	16.3
1429	2	6	17.2
1429	2	7	17.1
1429	2	8	18
1429	2	9	18.5
1429	2	10	19.3
1429	2	11	19.6
1429	2	12	20
1429	2	13	20.6
1429	2	14	20.9
1429	2	15	21.1
1429	2	16	20.7
1437	2	1	5.6
1437	2	2	9.8
1437	2	3	12.8
1437	2	4	16.6
1437	2	5	17.7
1437	2	6	17.6
1437	2	7	18.4
1437	2	8	18.2
1437	2	9	18.7
1437	2	10	19.2
1437	2	11	19.3
1437	2	12	21.8
1437	2	13	23.3
1437	2	14	23
1437	2	15	23.5
1437	2	16	25.01
1445	2	1	5.8
1445	2	2	10.2
1445	2	3	13.1
1445	2	4	18.5
1445	2	5	19.8
1445	2	6	19.9
1445	2	7	19.7
1445	2	8	20.7
1445	2	9	19.6
1445	2	10	20
1445	2	11	21.2
1445	2	12	21.4
1445	2	13	20.8
1445	2	14	21.1
1445	2	15	22.2
1445	2	16	23.1
1453	2	1	4.7
1453	2	2	9
1453	2	3	11.3
1453	2	4	13.2
1453	2	5	15.3
1453	2	6	15.5
1453	2	7	16.8
1453	2	8	17.6
1453	2	9	18
1453	2	10	19.2
1453	2	11	19
1453	2	12	20
1453	2	13	20.5
1453	2	14	20.3
1453	2	15	21
1453	2	16	20.3
1460	2	1	5.3
1460	2	2	8.5
1460	2	3	11.4
1460	2	4	14.3
1460	2	5	18
1460	2	6	20.4
1460	2	7	21.1
1460	2	8	22.5
1460	2	9	22.9
1460	2	10	24.7
1460	2	11	24.7
1460	2	12	26.3
1460	2	13	27.2
1460	2	14	28.5
1460	2	15	29.3
1460	2	16	29.5
1475	2	1	5.7
1475	2	2	9.5
1475	2	3	12.8
1475	2	4	14.8
1475	2	5	17.2
1475	2	6	18.4
1475	2	7	20.1
1475	2	8	20.3
1475	2	9	20.8
1475	2	10	21.7
1475	2	11	21.7
1475	2	12	21.9
1475	2	13	22.2
1475	2	14	23.6
1475	2	15	24.2
1475	2	16	24.6
1483	2	1	4.5
1483	2	2	7.8
1483	2	3	9.6
1483	2	4	13.6
1483	2	5	16
1483	2	6	15.8
1483	2	7	16.9
1483	2	8	16.8
1483	2	9	17.9
1483	2	10	19.7
1483	2	11	20.4
1483	2	12	21.6
1483	2	13	21.4
1483	2	14	22.8
1483	2	15	23.2
1483	2	16	23.5
1491	1	1	5.9
1491	1	2	9.9
1491	1	3	10.5
1491	1	4	12.4
1491	1	5	12.7
1491	1	6	14.3
1491	1	7	14.8
1491	1	8	14.5
1491	1	9	16.1
1491	1	10	16.4
1491	1	11	13.8
1491	1	12	16.1
1491	1	13	16.6
1491	1	14	17.7
1491	1	15	18.1
1491	1	16	17
1499	1	1	5.4
1499	1	2	10.4
1499	1	3	13.1
1499	1	4	13.6
1499	1	5	16.1
1499	1	6	18.4
1499	1	7	18.2
1499	1	8	17.4
1499	1	9	18.5
1499	1	10	19.2
1499	1	11	19
1499	1	12	18.7
1499	1	13	18.9
1499	1	14	19.8
1499	1	15	21.3
1499	1	16	22.6
1507	1	1	4.4
1507	1	2	7.6
1507	1	3	9.5
1507	1	4	11.2
1507	1	5	12.9
1507	1	6	13.4
1507	1	7	14.1
1507	1	8	14.3
1507	1	9	15
1507	1	10	15.2
1507	1	11	15.3
1507	1	12	15.7
1507	1	13	15.4
1507	1	14	15.2
1507	1	15	16.3
1507	1	16	16.3
1413	1	1	6.4
1413	1	2	10.7
1413	1	3	12.6
1413	1	4	14.4
1413	1	5	15.9
1413	1	6	16.1
1413	1	7	16.9
1413	1	8	18.3
1413	1	9	17.9
1413	1	10	18.2
1413	1	11	18.1
1413	1	12	17.7
1413	1	13	19
1413	1	14	18.9
1413	1	15	19.9
1413	1	16	21.6
1430	1	1	7.1
1430	1	2	9
1430	1	3	10.8
1430	1	4	12.9
1430	1	5	14.7
1430	1	6	16.3
1430	1	7	17.5
1430	1	8	17.9
1430	1	9	18
1430	1	10	18.6
1430	1	11	18.3
1430	1	12	18.7
1430	1	13	19.6
1430	1	14	20.5
1430	1	15	20.9
1430	1	16	21.5
1438	2	1	5.2
1438	2	2	9.3
1438	2	3	12.1
1438	2	4	14.7
1438	2	5	16.8
1438	2	6	17
1438	2	7	17.6
1438	2	8	17.4
1438	2	9	18.3
1438	2	10	19.1
1438	2	11	18.9
1438	2	12	20.5
1438	2	13	20.9
1438	2	14	20
1438	2	15	21.1
1438	2	16	22.2
1446	1	1	5.6
1446	1	2	9.8
1446	1	3	11.6
1446	1	4	13.4
1446	1	5	14.1
1446	1	6	15
1446	1	7	15
1446	1	8	15.2
1446	1	9	15.7
1446	1	10	16.4
1446	1	11	16.7
1446	1	12	16.4
1446	1	13	17
1446	1	14	16.9
1446	1	15	17.8
1446	1	16	18.6
1454	2	1	4.9
1454	2	2	8.8
1454	2	3	11.4
1454	2	4	13.7
1454	2	5	16.8
1454	2	6	17.4
1454	2	7	17.3
1454	2	8	18.2
1454	2	9	17.9
1454	2	10	18.6
1454	2	11	19
1454	2	12	18.2
1454	2	13	19.4
1454	2	14	18.9
1454	2	15	19.3
1454	2	16	19.8
1461	1	1	5.6
1461	1	2	9.1
1461	1	3	10.6
1461	1	4	12.6
1461	1	5	15
1461	1	6	15.6
1461	1	7	16.6
1461	1	8	16.9
1461	1	9	17.7
1461	1	10	19.5
1461	1	11	18.5
1461	1	12	18.5
1461	1	13	19.3
1461	1	14	20.2
1461	1	15	20.2
1461	1	16	20.1
1476	2	1	4.6
1476	2	2	7.9
1476	2	3	10
1476	2	4	12.7
1476	2	5	14
1476	2	6	14.2
1476	2	7	15.1
1476	2	8	14.9
1476	2	9	16.3
1476	2	10	17.6
1476	2	11	17.9
1476	2	12	18.5
1476	2	13	18.4
1476	2	14	19.2
1476	2	15	19.9
1476	2	16	19.4
1484	1	1	6.2
1484	1	2	9.8
1484	1	3	11.9
1484	1	4	14.2
1484	1	5	14.9
1484	1	6	14.6
1484	1	7	14.8
1484	1	8	15.4
1484	1	9	16.8
1484	1	10	17
1484	1	11	15.9
1484	1	12	17.1
1484	1	13	15.7
1484	1	14	16.9
1484	1	15	16.7
1484	1	16	17.9
1492	2	1	4.9
1492	2	2	8.9
1492	2	3	10.5
1492	2	4	12.3
1492	2	5	16.6
1492	2	6	17
1492	2	7	17.2
1492	2	8	16.6
1492	2	9	18
1492	2	10	17.5
1492	2	11	19.7
1492	2	12	19.2
1492	2	13	17.4
1492	2	14	19.2
1492	2	15	18.3
1492	2	16	18.5
1500	1	1	5.7
1500	1	2	9.6
1500	1	3	11.2
1500	1	4	13.5
1500	1	5	15.2
1500	1	6	15.6
1500	1	7	15.7
1500	1	8	15.4
1500	1	9	17.1
1500	1	10	18.5
1500	1	11	19.3
1500	1	12	19.9
1500	1	13	20.1
1500	1	14	20.6
1500	1	15	21.5
1500	1	16	21.6
1508	1	1	4.8
1508	1	2	8.3
1508	1	3	9.9
1508	1	4	11.3
1508	1	5	13
1508	1	6	14
1508	1	7	14.7
1508	1	8	14.9
1508	1	9	16.2
1508	1	10	16
1508	1	11	16.6
1508	1	12	16.9
1508	1	13	17
1508	1	14	17.3
1508	1	15	17.6
1508	1	16	18.1
1420	2	1	5.2
1420	2	2	8.6
1420	2	3	11.5
1420	2	4	14.6
1420	2	5	16.9
1420	2	6	16.6
1420	2	7	17.7
1420	2	8	19.7
1420	2	9	18.8
1420	2	10	19.9
1420	2	11	19.9
1420	2	12	20
1420	2	13	21.5
1420	2	14	22.2
1420	2	15	22.7
1420	2	16	22.6
1431	2	1	9.2
1431	2	2	10.8
1431	2	3	12.2
1431	2	4	15.2
1431	2	5	18.4
1431	2	6	18.8
1431	2	7	19.2
1431	2	8	19.9
1431	2	9	19.9
1431	2	10	21.2
1431	2	11	20.7
1431	2	12	20.7
1431	2	13	21.2
1431	2	14	22
1431	2	15	22.2
1431	2	16	22.7
1439	1	1	4.5
1439	1	2	8.8
1439	1	3	11
1439	1	4	12.6
1439	1	5	14.6
1439	1	6	14.7
1439	1	7	15.8
1439	1	8	14.5
1439	1	9	15.8
1439	1	10	15.9
1439	1	11	15.6
1439	1	12	14.6
1439	1	13	14.6
1439	1	14	15.1
1439	1	15	15.2
1439	1	16	16.5
1447	1	1	5.5
1447	1	2	9.7
1447	1	3	11.7
1447	1	4	12.7
1447	1	5	13.4
1447	1	6	14.3
1447	1	7	15.1
1447	1	8	15.8
